WASP-113          	0.475	1.409	0.172	1496
WASP-114          	1.769	1.339	0.73	2043
WASP-117          	0.2755	1.021	0.259	1024
WASP-118          	0.52	1.394	0.193	1753
WASP-119          	1.23	1.4	0.5	1600
WASP-120          	4.85	1.473	1.51	1880
WASP-121          	1.183	1.865	0.183	2358
WASP-122          	1.284	1.743	0.243	1970
WASP-123          	0.899	1.318	0.393	1520
WASP-124          	0.6	1.24	0.32	1400
WASP-126          	0.28	0.96	0.31	1480
WASP-127          	0.18	1.37	0.068	1400
WASP-129          	1	0.93	1.2	1100
WASP-130          	1.23	0.89	1.76	833
WASP-131          	0.27	1.22	0.15	1460
WASP-132          	0.41	0.87	0.63	763
WASP-133          	1.16	1.21	0.66	1790
WASP-134          	1.412	0.988	1.47	953
WASP-136          	1.51	1.38	0.581	1742
WASP-137          	0.681	1.27	0.333	1601
WASP-138          	1.22	1.09	0.92	1590
WASP-139          	0.117	0.8	0.23	910
WASP-140          	2.44	1.44	0.8	1320
WASP-141          	2.69	1.21	1.49	1540
WASP-142          	0.84	1.53	0.23	2000
WASP-143          	0.725	1.234	0.382	1325
WASP-144          	0.44	0.85	0.72	1260
WASP-145          	0.89	0.9	1.2	1200
WASP-146          	1.11	1.228	0.604	1486
WASP-147          	0.275	1.115	0.198	1404
WASP-151          	0.36	1.187	0.189	1312
WASP-153          	0.39	1.55	0.11	1700
WASP-156          	0.128	0.51	1	970
WASP-157          	0.574	1.065	0.48	1339
WASP-158          	2.79	1.07	2.3	1590
WASP-159          	0.55	1.38	0.21	1850
WASP-160          	0.281	1.093	0.214	1119
WASP-161          	2.49	1.143	1.66	1557
WASP-162          	5.2	1	5.2	910
WASP-163          	1.87	1.202	1.07	1638
WASP-164          	2.13	1.128	1.48	1610
WASP-165          	0.658	1.26	0.33	1624
WASP-166          	0.102	0.63	0.4	1270
WASP-168          	0.42	1.5	0.12	1340
WASP-170          	1.6	1.096	1.21	1422
WASP-172          	0.47	1.57	0.12	1740
WASP-173          	3.69	1.2	2.14	1880
WASP-177          	0.508	1.58	0.13	1142
WASP-180          	0.8	1.29	0.38	1570
WASP-181          	0.299	1.184	0.179	1186
WASP-183          	0.502	1.47	0.16	1111
WASP-189          	2.13	1.374	0.83	2641
WTS-1             	4.01	1.49	1.21	1500
WTS-2             	1.12	1.363	0.413	2000
XO-1              	0.907	1.199	0.492	1204
XO-2              	0.597	1.019	0.528	1328
XO-3              	11.83	1.248	6.08	1729
XO-4              	1.615	1.317	0.658	1641
XO-5              	1.19	1.142	0.799	1225
XO-6              	1.9	2.07	0.2	1577
